5,FIFA 18 потяне пк,

0,какой подойдет монитор для етого пк с VGA подойдет？,

0,Сколько фпс в Майнкрафт будет? Хотя бы 100 фпс будет,

0,Какой подойдет манитор для этого пк?,

0,потянет он ворлд оф танкс на середних в 45-60fps и гта 5 на минималках в 50-60fpsи кс го на середних в 30-45 Fps ？Кто знает ответье пожайлуста,

5,Есть предустановленные драйвера? Если да, то на что,

5,Скажите,этот комп потянет ARK survivel evold?,

5,Якшо я куплю переходнік до монітора vga то компьютер буде робить чи нада куплять інший монітор,

0,Потянет ли это ПК Watch Dogs 2 на низких в 60 фпс?,

0,Скажите пожалуйста какой монитор подходит на этот пк?,

5,FIFA 18 потяне пк,

0,какой подойдет монитор для етого пк с VGA подойдет？,

0,Сколько фпс в Майнкрафт будет? Хотя бы 100 фпс будет,

0,Какой подойдет манитор для этого пк?,

0,потянет он ворлд оф танкс на середних в 45-60fps и гта 5 на минималках в 50-60fpsи кс го на середних в 30-45 Fps ？Кто знает ответье пожайлуста,

5,Есть предустановленные драйвера? Если да, то на что,

5,Скажите,этот комп потянет ARK survivel evold?,

5,Якшо я куплю переходнік до монітора vga то компьютер буде робить чи нада куплять інший монітор,

0,Потянет ли это ПК Watch Dogs 2 на низких в 60 фпс?,

0,Скажите пожалуйста какой монитор подходит на этот пк?,

5,Стримы потянет?,

5,Цей комп потяне ведьмак на ультрах,

0,Дискретная, nVidia GeForce GTX 1050, 2 ГБ выделенной видеопамяти - какая у ние шина 128 bit или 256bit?,

5,Пойдет ли ГТА 5 на низких без лагов?,

0,А дополнительный слот под sata есть? Для SSD,

0,Можно ли оформить рассрочку? И что для этого надо?,

0,Вай фай Тянет?,

5,Пойдет ли на етом пк Pubg,и если да то сколько fps?,Переваги: ?,Недоліки: ?,

0,Можно Изменить здесь видеокарту!!!!,

0,Сколько FPS в CS:GO на минимальных настройках,

0,Ssd есть?,

0,Здравствуйте. Euro Truck Simulator 2 и Microsoft Flight Simulator X на каких настройках пойдут?,

0,Скажите пожалуйста потянет ли он Nfs 2015, Nfs Payback, на средних на 50 - 60?,

5,Собрал деньги на компьютер. Хочу спросить, какой компьютер более производительный x46v06 или x47v06 ?,

5,Хотелось бы спросить, какой компьютер лучше и намного ли: x46v02 или x47v06 ?,Переваги: Возможно куплю,Недоліки: Наверно нету,

0,Подскажите пожалуйста сколько планок оперативной памяти установлено?,

0,Пдскажите какой fps на фермер симулятор 2017,

0,Какой SSD диск сюда подойдет?,

5,Есть у него разъем VGA?,

0,Сколько FPS будет в GTA 5, Watch Dogs 2, Fifa 17, Battlefield 1?,

0,Есть диски с драйверами?,

0,Программу Adobe Permiere Pro Хорошо будет тянуть???,Переваги: Не знаю,Недоліки: не знаю,

0,Забыл. Там какой ФПС на игру "Tanki Online" что бы минимум: 20 - 30, максимум: 60 - 55.,Переваги: Не знаю,Недоліки: Не знаю,

0,У меня 1 вопрос. Там есть сразу драйвера и Windows (и какая) И он когда включён, он гудит?,Переваги: Не купил и незнаю,Недоліки: Не купил и незнаю,

0,Подскажите пожалуйста к нему монитор и вайфайный модуль!,

0,Какой производитель видеокарты ? Асус,Мси..,Переваги: не купил,Недоліки: не купил,

0,Чи підійде цей монітор до цього ПК https://hard.rozetka.com.ua/ua/samsung_ls19f355hnixci/p12055961/,

0,Какая Intel?(финальный вопрос перед покупкой).,

0,Это 3-тий вопрос который. Я хотел спросить: Какие элементы нужно устанавливать на этот пк(нужные которых нет на этом пк)?,

0,Характеристики Графический чипGeForce GTX 1050 Частота памяти7008 МГц Частота ядраБазовая частота: 1354 МГц В режиме разгона: 1455 МГц Объем памяти2 ГБ Система охлажденияDual Fan Разрядность шины памяти128 бит Выходы DVI1 Максимально поддерживаемое разрешение7680x4320 Тип памятиGDDR5 Дополнительное питаниеНет Размеры212 x 111 x 38 мм ИнтерфейсPCI-Express x16 3.0 РазъемыDisplayPort, HDMI, DVI Тип системы охлажденияАктивная Пойдет ли эта видеокарта на этот пк?,

0,Характеристики Код товараGM-450 Мощность450 Вт Количество разъемов дополнительного питания для видеокарт1 Модульное подключение кабелейНет ТипКомпьютерный Тип разъема подключения к материнской платеATX 20 4pin ОхлаждениеВентилятор 120 мм Тип разъема подключения питания процессора1x4pin Тип разъемов дополнительного питания для видеокарт1x6pin Количество разьемов для подключения HDD/FDD/SATA2 / 0 / 2 Максимальные нагрузки 3.3 В - 14 A, 5 В - 25 A, 12 В - 14 A, 12 В - 13 A, -12 В - 0.5 A, 5 VSB - 2.5 A Размеры, вес150 x 140 x 86 мм, 1038 г Пойдет этот системный блок на этот пк?,

5,Подскажите сколько будет фпс в Арк?Тобеш ARK: Survival Evolved,Переваги: Топ,Недоліки: Топ,

0,Какая комплектация видокарты? ФПС в среднем сколько будет давать (GTA V, CS:GO)? Будут ли проблемы с адаптером HDMI-VGA?,

0,Добрый День. А что с Wi-Fi? Надо что то докупать или что?,

0,нет изооброжения на мониторе,Недоліки: нет изооброжения что делать ?,

0,Можно ли сюда поставить Intel core i3,

0,Добрый вечер, скажите пожалуйста, а в городе Харьков есть гарантийный центр?,

0,Добрый день. Можно ли добавить Оперативной памяти или поставить FX 6300?,

5,Хочу в скорем времени взять этот ПК, но монтор у меня с выводом VGA. Скажите, какой переходник нужен? Купить хочу для игры в Ведьмак 3 и фалаут 4 при 1920х1080. Надеюсь, не разочарует? Ожидаю Вашего ответа.,Переваги: Выясняем,Недоліки: Выясняем,

0,Кабель VGA от монитора к этому системному блоку подойдет? Или нужен какой-то переходник? Если нужен, то какой.,

0,Вопрос: Данный монитор http://hard.rozetka.com.ua/philips_223v5lsb2_62/p377245/?dsl=ok&id=377245&gclid=Cj0KEQjwrsDIBRDX3JCunOrr_YYBEiQAifH1FumfUFcU6jl_CeqzZsM0eFk0RhatqkAuojAUeTFgFUgaAh3Y8P8HAQ подойдет к этому ПК?,

5,Подскажите пожалуйста, как в этом компьютере подключиться к сети Wi-Fi, надо-ли докупать сетевой адаптер?,Переваги: По параметрам отличный!,Недоліки: Волнует только Wi-Fi,

0,Доброго дня. Скажіть будь ласка, у мене монітор з інтерфейсом VGA, чи є можливість накласти якись переходник типу DVI чи hdmi щоб працював з цим ПК. Якщо ні то який саме монітор буде його підтримувати? Буду вдячний за відповідь.,

0,Можно ли дополнительно установить ssd накопитель,

5,Виндовс сразу установлен ?,

0,Компьютер хорош но можно узнать более подробно о материнской плате точнее название количество слотов под память или ссылку на нее заранее спасибо,

0,Интересно, вот какие игры потянет и под сколько FPS? Например такие как CS GO,Batlfeeld 1, PAYDAY 2,The Witcher 3,Saints Row 4,5. GTA SAMP, GTA 5 и еще какие то современные игрули. Заранее спасибо!!!,

0,Какой производитель у видеокарты и ОЗУ?,

4,Какой производитель у видеокарты и какая здесь ОЗУ?,Переваги: Цена,

